Work Item Type,Title 1,Title 2,Title 3,Description,Acceptance Criteria,Story Points,Priority,Tags
User Story,,,US054 - View group profile,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to view group summary and members, <strong>so that</strong> I can understand group status.</p>","<ul><li>Profile shows member count, location/purpose and relevant health/weight summaries.</li><li>Member list supports search/filter.</li><li>Actions respect permissions.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R1;Flocks;Profile;Web;Mobile;UI
Feature,,F18 - Animal Movement,,<p>Track movement between locations and groups.</p>,,,2,HerdCommand;R2;Feature
User Story,,,US055 - Move animals between locations,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to record movement of animals, <strong>so that</strong> current location stays accurate.</p>",<ul><li>User selects source/target context and effective date/time.</li><li>Bulk movement supports multiple eligible animals.</li><li>Movement updates current location and preserves history.</li><li>Invalid target or unauthorized scope is blocked.</li></ul>,8,1,HerdCommand;R2;Animals;Movement;Locations;Bulk-Actions;Mobile
User Story,,,US056 - View animal movement history,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to review where an animal has been, <strong>so that</strong> I can investigate operational history.</p>","<ul><li>History shows from/to location/group, effective date and actor where applicable.</li><li>Entries are ordered chronologically.</li><li>Historical movements remain readable after location deactivation.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,3,HerdCommand;R2;Animals;Movement;Audit;UI
Epic,"E07 - Breeding, Pregnancy, Lambing & Pedigree",,,<p>Manage reproductive lifecycle and lineage from mating through offspring.</p>,,,1,HerdCommand;R2;Epic
Feature,,F19 - Breeding Events,,<p>Record mating and breeding activity.</p>,,,2,HerdCommand;R2;Feature
User Story,,,US057 - Record breeding event,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to record a breeding/mating event, <strong>so that</strong> reproductive history is traceable.</p>","<ul><li>Eligible female and sire can be selected according to configured rules.</li><li>Event date and breeding method can be recorded.</li><li>Duplicate accidental entries can be detected or corrected.</li><li>Event appears in both animals’ timelines when applicable.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R2;Breeding;Animals;UI
User Story,,,US058 - View breeding history,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to view reproductive events for an animal, <strong>so that</strong> I can understand breeding status.</p>","<ul><li>History lists breeding events and linked pregnancy/lambing outcomes.</li><li>Events are ordered by date.</li><li>User can open event details.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R2;Breeding;History;UI
Feature,,F20 - Pregnancy Management,,<p>Track pregnancy checks and expected due dates.</p>,,,2,HerdCommand;R2;Feature
User Story,,,US059 - Record pregnancy check,"<p><strong>As a</strong> Veterinarian, <strong>I want</strong> to record pregnancy check results, <strong>so that</strong> the farm can plan upcoming births.</p>","<ul><li>Result supports pregnant, not pregnant and inconclusive where configured.</li><li>Check date, method and notes can be recorded.</li><li>Pregnant result can calculate/record expected due date.</li><li>Result is added to animal history.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R2;Pregnancy;Health;Veterinary;UI
User Story,,,US060 - View animals due for lambing,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to see pregnant animals approaching due date, <strong>so that</strong> I can prepare resources.</p>","<ul><li>List is based on recorded expected due dates/status.</li><li>User can filter by due window and group/location.</li><li>Overdue animals are visually identifiable.</li><li>Opening a row navigates to the relevant animal/pregnancy.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R2;Pregnancy;Dashboard;Alerts;UI
User Story,,,US061 - Update pregnancy outcome,"<p><strong>As a</strong> Veterinarian, <strong>I want</strong> to close a pregnancy with its actual outcome, <strong>so that</strong> pregnancy status remains accurate.</p>","<ul><li>Outcome can link to lambing, loss or other supported closure reason.</li><li>Closed pregnancy no longer appears as currently pregnant.</li><li>Outcome date is validated relative to pregnancy events.</li><li>Change is auditable.</li></ul>",5,2,HerdCommand;R2;Pregnancy;Audit
Feature,,F21 - Lambing & Birth Records,,<p>Record births and connect offspring automatically to lineage.</p>,,,2,HerdCommand;R2;Feature
User Story,,,US062 - Record lambing event,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to record a lambing event, <strong>so that</strong> birth outcomes and offspring are tracked.</p>","<ul><li>Event records dam, date/time, birth outcome and number of offspring.</li><li>User can create one or more offspring records from the event.</li><li>Offspring are linked to dam and sire when known.</li><li>Pregnancy status is closed appropriately.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R2;Lambing;Animals;Breeding;UI
User Story,,,US063 - Record multiple offspring in one lambing,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to create twins/triplets from one event, <strong>so that</strong> each offspring has an individual record.</p>","<ul><li>Each offspring can have gender, identifier, status and birth weight.</li><li>All offspring share the same lambing event reference.</li><li>Validation prevents duplicate identifiers.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R2;Lambing;Animals;UI
User Story,,,US064 - Record birth complications or loss,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to record complications and non-surviving offspring, <strong>so that</strong> reproductive and health reporting is accurate.</p>",<ul><li>Supported outcomes can be recorded without forcing creation of an active animal record.</li><li>Notes and relevant health follow-up can be captured.</li><li>Sensitive details respect role permissions.</li></ul>,5,3,HerdCommand;R2;Lambing;Health;Reporting
Feature,,F22 - Pedigree,,<p>Display lineage relationships for breeding decisions.</p>,,,2,HerdCommand;R2;Feature
User Story,,,US065 - View animal pedigree,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to view parents and known ancestors, <strong>so that</strong> I can understand lineage.</p>","<ul><li>Pedigree shows known dam and sire and configurable ancestor depth.</li><li>Unknown relationships are clearly shown.</li><li>Opening a known ancestor navigates to its permitted profile.</li><li>Pedigree remains usable in RTL and LTR.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,2,HerdCommand;R2;Pedigree;Animals;UI
User Story,,,US066 - Prevent invalid parent relationships,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> the system to validate parent assignments, <strong>so that</strong> lineage data remains credible.</p>","<ul><li>An animal cannot be its own ancestor.</li><li>Configured sex/age rules are validated where data is known.</li><li>Circular pedigree relationships are prevented.</li><li>Override behavior, if allowed, requires appropriate permission and audit.</li></ul>",8,1,HerdCommand;R2;Pedigree;Data-Quality;Validation
Epic,"E08 - Health, Treatment & Vaccination",,,"<p>Record health observations, treatments and preventive care with traceable history.</p>",,,1,HerdCommand;R2;Epic
Feature,,F23 - Health Events,,"<p>Capture observations, diagnoses and veterinary notes.</p>",,,2,HerdCommand;R2;Feature
User Story,,,US067 - Record health event,"<p><strong>As a</strong> Veterinarian, <strong>I want</strong> to record a health observation or diagnosis, <strong>so that</strong> the animal health history is complete.</p>","<ul><li>Event records date, category, notes and responsible user.</li><li>Relevant attachments can be added where permitted.</li><li>Event appears on animal health history.</li><li>Required clinical fields vary by configured category rather than one oversized form.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R2;Health;Veterinary;Animals;UI
User Story,,,US068 - View animal health history,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to view chronological health records, <strong>so that</strong> I can understand current and historical issues.</p>","<ul><li>History lists health events, treatments and vaccinations according to permissions.</li><li>User can filter by health record type.</li><li>Open issues are visually distinguishable from completed events where applicable.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R2;Health;History;UI
Feature,,F24 - Treatments & Medication,,<p>Record treatment plans and medication administration.</p>,,,2,HerdCommand;R2;Feature
User Story,,,US069 - Record treatment,"<p><strong>As a</strong> Veterinarian, <strong>I want</strong> to record a treatment for an animal, <strong>so that</strong> medication and care are traceable.</p>","<ul><li>Treatment records medication/item, dose, route, date and notes when applicable.</li><li>Medication can reference inventory item.</li><li>Invalid or inactive items cannot be newly selected.</li><li>Treatment is included in animal health history.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R2;Health;Treatment;Inventory;UI
User Story,,,US070 - Record multi-day treatment plan,"<p><strong>As a</strong> Veterinarian, <strong>I want</strong> to schedule repeated treatment actions, <strong>so that</strong> farm staff can complete a treatment course.</p>",<ul><li>Plan can define frequency/duration or explicit occurrences.</li><li>Upcoming treatment actions can generate tasks/reminders.</li><li>Each administration can be completed independently.</li><li>Plan status reflects completed/missed/cancelled occurrences.</li></ul>,8,2,HerdCommand;R2;Health;Treatment;Tasks;Notifications
User Story,,,US071 - Record treatment withdrawal period,"<p><strong>As a</strong> Veterinarian, <strong>I want</strong> to record a withdrawal end date when relevant, <strong>so that</strong> operational decisions can respect medication restrictions.</p>","<ul><li>Withdrawal period can be captured from configured medication rules or entered by authorized user.</li><li>Active withdrawal is visible on the animal profile.</li><li>Relevant reports/alerts can identify active withdrawal status.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R2;Health;Treatment;Compliance;UI
Feature,,F25 - Vaccination,,<p>Plan and record vaccinations.</p>,,,2,HerdCommand;R2;Feature
User Story,,,US072 - Record vaccination administration,"<p><strong>As a</strong> Veterinarian, <strong>I want</strong> to record a vaccination, <strong>so that</strong> preventive care history is complete.</p>","<ul><li>Vaccination records vaccine, date, dose/batch where configured and administrator.</li><li>Inventory can be decremented when integration is enabled.</li><li>Next due date can be calculated or entered.</li><li>Record appears in health history.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R2;Vaccination;Health;Inventory;UI
User Story,,,US073 - View vaccination due list,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to see animals with upcoming or overdue vaccinations, <strong>so that</strong> I can plan preventive care.</p>","<ul><li>List supports due-window filtering.</li><li>Overdue items are clearly identified.</li><li>User can open the animal or vaccination action.</li><li>Completed vaccination no longer appears as due.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R2;Vaccination;Alerts;Dashboard;UI
User Story,,,US074 - Create vaccination campaign,"<p><strong>As a</strong> Veterinarian, <strong>I want</strong> to plan the same vaccination for a group, <strong>so that</strong> bulk preventive care is easier to manage.</p>","<ul><li>User can target a group/filter of eligible animals.</li><li>Campaign creates planned vaccination actions without duplicating existing completed records.</li><li>Progress shows planned, completed, skipped and remaining counts.</li></ul>",8,3,HerdCommand;R2;Vaccination;Bulk-Actions;Flocks
Epic,"E09 - Weight, Growth, Feeding & Rations",,,<p>Track growth and plan nutrition using consistent measurements and feed records.</p>,,,1,HerdCommand;R3;Epic
Feature,,F26 - Weight & Growth,,<p>Record weights and visualize growth.</p>,,,2,HerdCommand;R2;Feature
User Story,,,US075 - Record animal weight,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to record a new weight, <strong>so that</strong> growth can be monitored.</p>","<ul><li>Weight value, date/time and optional method/source are captured.</li><li>Units are displayed consistently according to product configuration.</li><li>Unreasonable values trigger validation or confirmation rather than silent acceptance.</li><li>Latest weight updates the animal summary.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R2;Weight;Animals;Mobile;UI
User Story,,,US076 - Bulk record weights,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to record weights for multiple animals efficiently, <strong>so that</strong> weighing sessions are faster.</p>","<ul><li>User can work through a selected group/list.</li><li>Each row validates independently.</li><li>Partial progress can be saved safely.</li><li>Recorded weights appear in each animal history.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,2,HerdCommand;R2;Weight;Bulk-Actions;Mobile;UI
User Story,,,US077 - View growth chart,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to visualize an animal’s weight over time, <strong>so that</strong> I can identify growth trends.</p>","<ul><li>Chart plots dated weight measurements in chronological order.</li><li>Data points expose value/date details accessibly.</li><li>No-data and single-point states are handled.</li><li>Chart layout works in Arabic RTL and English LTR.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R2;Weight;Analytics;Charts;UI
User Story,,,US078 - Identify growth exceptions,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to identify animals outside configured growth expectations, <strong>so that</strong> I can intervene earlier.</p>",<ul><li>Configured thresholds/targets can flag exceptions.</li><li>Exception logic is transparent and not presented as a veterinary diagnosis.</li><li>User can filter/sort the exception list.</li></ul>,5,3,HerdCommand;R2;Weight;Analytics;Alerts
Feature,,F27 - Feed Catalog & Feeding Plans,,<p>Maintain feed items and feeding schedules.</p>,,,2,HerdCommand;R3;Feature
User Story,,,US079 - Manage feed catalog,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to maintain feed types used by the farm, <strong>so that</strong> feeding and inventory records use consistent items.</p>","<ul><li>Feed item has name, unit and active status.</li><li>Optional nutrition attributes can be stored when configured.</li><li>Inactive feed cannot be selected for new plans.</li><li>Existing history remains readable.</li></ul>",5,2,HerdCommand;R3;Feeding;Reference-Data;Inventory
User Story,,,US080 - Create feeding plan for group,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to define a feeding plan for a flock/group, <strong>so that</strong> staff know what to feed and when.</p>","<ul><li>Plan targets a group/location and defines feed item, quantity basis and schedule.</li><li>Effective dates are validated.</li><li>Only active feed items are selectable.</li><li>Plan can be paused or ended without deleting history.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,1,HerdCommand;R3;Feeding;Flocks;Plans;UI
User Story,,,US081 - Record feed delivery/consumption,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to record actual feed delivered, <strong>so that</strong> planned and actual feeding can be compared.</p>","<ul><li>User records group/location, feed item, quantity and date/time.</li><li>Inventory can be decremented when configured.</li><li>Record is traceable to the actor.</li><li>Mobile entry minimizes required typing.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R3;Feeding;Inventory;Mobile;UI
Feature,,F28 - Ration Planning,,<p>Calculate and save practical ration mixes.</p>,,,2,HerdCommand;R3;Feature
User Story,,,US082 - Create ration recipe,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to define a ration from multiple feed ingredients, <strong>so that</strong> feeding plans can reuse consistent mixes.</p>","<ul><li>Recipe supports multiple ingredients and quantities/percentages.</li><li>Total composition is validated according to configured basis.</li><li>Recipe has version/effective status behavior.</li><li>Inactive ingredients are not available for new versions.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,2,HerdCommand;R3;Ration;Feeding;UI
User Story,,,US083 - Estimate ration quantities for group,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to scale a ration for a selected group and period, <strong>so that</strong> I know required feed quantities.</p>","<ul><li>Calculation uses explicit inputs such as group count, daily rate and duration.</li><li>Inputs and calculated totals are visible.</li><li>Rounding rules are consistent.</li><li>Calculation can be used to create a feeding plan without overwriting the recipe.</li></ul>",8,2,HerdCommand;R3;Ration;Calculation;Feeding
Epic,E10 - Inventory & Supplies,,,"<p>Track feed, medicines and operational stock with clear quantity history.</p>",,,1,HerdCommand;R3;Epic
Feature,,F29 - Inventory Catalog,,<p>Maintain stock items and units.</p>,,,2,HerdCommand;R3;Feature
User Story,,,US084 - Create inventory item,"<p><strong>As a</strong> Store manager, <strong>I want</strong> to create a stock item, <strong>so that</strong> inventory movements reference a consistent catalog.</p>","<ul><li>Item includes name, category, unit and active status.</li><li>Optional SKU/batch tracking settings can be configured.</li><li>Duplicate identifiers are prevented where configured.</li><li>Creation is audited.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R3;Inventory;Catalog;Admin;UI
User Story,,,US085 - View inventory list,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to view stock quantities and status, <strong>so that</strong> I can understand current supply position.</p>","<ul><li>List shows on-hand quantity and low-stock status where configured.</li><li>User can search/filter by category and active status.</li><li>Quantities are calculated from valid stock movements.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R3;Inventory;Web;Mobile;UI
Feature,,F30 - Stock Movements,,"<p>Record receipts, issues, adjustments and consumption.</p>",,,2,HerdCommand;R3;Feature
User Story,,,US086 - Record stock receipt,"<p><strong>As a</strong> Store manager, <strong>I want</strong> to record incoming stock, <strong>so that</strong> on-hand quantity is accurate.</p>","<ul><li>Receipt records item, quantity, date and optional supplier/batch/expiry.</li><li>Quantity must be positive.</li><li>On-hand stock updates after successful save.</li><li>Movement is auditable.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R3;Inventory;Stock;Audit;UI
User Story,,,US087 - Record stock issue or consumption,"<p><strong>As a</strong> Store manager, <strong>I want</strong> to record stock leaving inventory, <strong>so that</strong> on-hand quantity stays accurate.</p>","<ul><li>Issue records item, quantity, date and purpose/reference.</li><li>Insufficient-stock behavior follows configured policy.</li><li>Movement can link to feeding or treatment record.</li><li>On-hand quantity updates consistently.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R3;Inventory;Stock;Feeding;Health;UI
User Story,,,US088 - Record inventory adjustment,"<p><strong>As a</strong> Store manager, <strong>I want</strong> to correct stock after a physical count, <strong>so that</strong> system quantity matches reality.</p>",<ul><li>Adjustment requires reason and actual/adjustment quantity.</li><li>Only authorized roles can adjust stock.</li><li>Before/after values are retained in audit history.</li></ul>,5,2,HerdCommand;R3;Inventory;Stock;Audit;Security
User Story,,,US089 - Receive low-stock alert,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to be alerted when stock drops below a configured threshold, <strong>so that</strong> I can replenish before running out.</p>",<ul><li>Threshold can be configured per item where enabled.</li><li>Alert is raised only when calculated on-hand crosses the relevant rule.</li><li>Acknowledgement does not change stock quantity.</li><li>Alert links to the inventory item.</li></ul>,5,2,HerdCommand;R3;Inventory;Alerts;Notifications
Feature,,F31 - Suppliers & Basic Purchasing,,<p>Track suppliers and simple purchase records without building full ERP scope.</p>,,,2,HerdCommand;R4;Feature
User Story,,,US090 - Manage supplier directory,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to maintain supplier contact information, <strong>so that</strong> purchases and inventory records can reference suppliers.</p>","<ul><li>Supplier has name, contact details and active status.</li><li>Deactivated suppliers remain on historical records.</li><li>Duplicate validation is applied to configured identifiers.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,3,HerdCommand;R4;Inventory;Suppliers;Finance;UI
User Story,,,US091 - Record purchase,"<p><strong>As a</strong> Accountant, <strong>I want</strong> to record an inventory-related purchase, <strong>so that</strong> costs and receipts are traceable.</p>","<ul><li>Purchase can reference supplier, date, items, quantities and total amount.</li><li>Farm currency is used for monetary fields.</li><li>Receipt/document can be attached.</li><li>Purchase can create stock receipts only through an explicit confirmation step.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,3,HerdCommand;R4;Inventory;Finance;Suppliers;UI
Epic,"E11 - Tasks, Notifications & Collaboration",,,<p>Coordinate daily work and surface important events to the right users.</p>,,,1,HerdCommand;R1;Epic
Feature,,F32 - Task Management,,"<p>Create, assign and complete operational tasks.</p>",,,2,HerdCommand;R1;Feature
User Story,,,US092 - Create a task,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to create an operational task, <strong>so that</strong> work can be tracked to completion.</p>","<ul><li>Task includes title, due date, priority and optional assignee/related record.</li><li>Task can link to animal, group, health or inventory context.</li><li>Creation respects permission rules.</li><li>Task is visible to relevant users.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R1;Tasks;Web;Mobile;UI
User Story,,,US093 - Assign task to team member,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to assign a task, <strong>so that</strong> responsibility is clear.</p>",<ul><li>Only active eligible users are assignable.</li><li>Assignee receives configured notification.</li><li>Assignment change is audited.</li><li>Unauthorized users cannot assign outside their scope.</li></ul>,5,2,HerdCommand;R1;Tasks;Team;Notifications;Audit
User Story,,,US094 - Complete a task,"<p><strong>As a</strong> Farm worker, <strong>I want</strong> to mark assigned work as complete, <strong>so that</strong> the team sees current progress.</p>","<ul><li>User can complete an eligible task and optionally add completion notes.</li><li>Completion timestamp and user are recorded.</li><li>Completed task leaves active due lists.</li><li>Linked workflow can update only through explicit supported rules.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",3,1,HerdCommand;R1;Tasks;Mobile;UI
User Story,,,US095 - Create recurring task,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> to schedule repeated operational work, <strong>so that</strong> routine activities do not need manual recreation.</p>","<ul><li>Recurrence supports defined supported patterns.</li><li>Future occurrences are generated according to a documented strategy.</li><li>Editing recurrence distinguishes single occurrence vs series where supported.</li><li>Stopping recurrence does not delete completed history.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",8,3,HerdCommand;R1;Tasks;Scheduling;UI
Feature,,F33 - Notification Center,,<p>Provide in-app and push/email notifications with user control.</p>,,,2,HerdCommand;R3;Feature
User Story,,,US096 - View notification center,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to see recent notifications, <strong>so that</strong> I can catch up on important events.</p>","<ul><li>Notifications show type, message, time and read/unread status.</li><li>Opening a notification navigates to the related authorized context.</li><li>Read state can be updated.</li><li>List is localized.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R3;Notifications;Web;Mobile;UI
User Story,,,US097 - Receive mobile push notification,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to receive important alerts on my mobile device, <strong>so that</strong> I can react while away from the desktop.</p>",<ul><li>Push permission is requested appropriately.</li><li>Notification content avoids sensitive detail on lock screen where policy requires.</li><li>Tapping notification deep-links to an authorized screen after authentication if needed.</li><li>Invalid/expired deep links fail safely.</li></ul>,8,2,HerdCommand;R3;Notifications;Mobile;Push;Security
User Story,,,US098 - Configure notification preferences,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to control optional notification categories/channels, <strong>so that</strong> I receive useful alerts without unnecessary noise.</p>","<ul><li>User can manage supported optional channels/categories.</li><li>Mandatory security notifications cannot be disabled if policy requires.</li><li>Preference changes persist per user.</li><li>Default preferences are documented.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,3,HerdCommand;R3;Notifications;Settings;UI
Epic,"E12 - Finance, Reports & Analytics",,,<p>Record farm financial activity and provide decision-ready operational reports.</p>,,,1,HerdCommand;R4;Epic
Feature,,F34 - Income & Expense Tracking,,<p>Record financial transactions relevant to farm operations.</p>,,,2,HerdCommand;R4;Feature
User Story,,,US099 - Record expense,"<p><strong>As a</strong> Accountant, <strong>I want</strong> to record a farm expense, <strong>so that</strong> cost reporting is accurate.</p>","<ul><li>Expense records date, category, amount, description and optional supplier/reference.</li><li>Amount uses configured farm currency.</li><li>Attachment can be added where permitted.</li><li>Creation/change is audited.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R4;Finance;Expenses;Audit;UI
User Story,,,US100 - Record income,"<p><strong>As a</strong> Accountant, <strong>I want</strong> to record farm income, <strong>so that</strong> financial reporting includes revenue.</p>","<ul><li>Income records date, category, amount and description/reference.</li><li>Amount uses configured farm currency.</li><li>Transaction can optionally reference animal/group sale context.</li><li>Creation/change is audited.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R4;Finance;Income;Audit;UI
User Story,,,US101 - View finance transaction list,"<p><strong>As a</strong> Accountant, <strong>I want</strong> to search and filter income and expenses, <strong>so that</strong> I can reconcile farm activity.</p>","<ul><li>List supports date range, type and category filters.</li><li>Totals reflect the active filter.</li><li>User can open authorized transaction details.</li><li>Large result sets are paginated/exportable according to permissions.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,2,HerdCommand;R4;Finance;Search;Web;UI
Feature,,F35 - Standard Reports,,<p>Deliver reusable operational and financial reports.</p>,,,2,HerdCommand;R4;Feature
User Story,,,US102 - Run herd inventory report,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> a report of animals by key classifications, <strong>so that</strong> I can understand herd composition.</p>","<ul><li>Report supports date/scope where applicable and groups by selected dimensions.</li><li>Counts reconcile with source records.</li><li>Filters are shown in the report context.</li><li>User can drill to underlying animals where supported.</li><li>Where UI is present, Arabic is supported as the default RTL experience and English is supported as LTR.</li></ul>",5,1,HerdCommand;R4;Reports;Animals;Analytics;UI
User Story,,,US103 - Run breeding and reproductive performance report,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> a report of breeding, pregnancy and lambing outcomes, <strong>so that</strong> I can evaluate reproductive operations.</p>",<ul><li>Report uses defined metrics with documented calculation rules.</li><li>Date range and group filters are supported.</li><li>Missing data is not silently treated as zero when semantics differ.</li></ul>,8,2,HerdCommand;R4;Reports;Breeding;Analytics
User Story,,,US104 - Run health and vaccination report,"<p><strong>As a</strong> Veterinarian, <strong>I want</strong> a report of health events and preventive care, <strong>so that</strong> I can review herd health activity.</p>",<ul><li>Report supports health/vaccination category and date filters.</li><li>Upcoming/overdue preventive care can be separated from completed history.</li><li>Access respects health data permissions.</li></ul>,5,2,HerdCommand;R4;Reports;Health;Vaccination
User Story,,,US105 - Run weight and growth report,"<p><strong>As a</strong> Farm manager, <strong>I want</strong> a report of weight trends and exceptions, <strong>so that</strong> I can compare groups and animals.</p>",<ul><li>Report supports date range and group/location filters.</li><li>Metric definitions are consistent with dashboard/chart logic.</li><li>Users can identify animals behind summary values where authorized.</li></ul>,5,2,HerdCommand;R4;Reports;Weight;Analytics
User Story,,,US106 - Run financial summary report,"<p><strong>As a</strong> Farm owner, <strong>I want</strong> to view income, expenses and net result for a period, <strong>so that</strong> I can assess farm financial performance.</p>",<ul><li>Report shows period totals by supported categories.</li><li>Currency and rounding are consistent with farm configuration.</li><li>Totals reconcile with included transactions.</li><li>Access is restricted to authorized finance roles.</li></ul>,8,1,HerdCommand;R4;Reports;Finance;Analytics;Security
Feature,,F36 - Export & Sharing,,<p>Export permitted reports for offline use or stakeholder sharing.</p>,,,2,HerdCommand;R4;Feature
User Story,,,US107 - Export report to PDF,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to export a permitted report to PDF, <strong>so that</strong> I can share a readable fixed-format report.</p>","<ul><li>Export includes report title, generated timestamp and active filters.</li><li>Arabic export renders RTL text correctly.</li><li>PDF does not include data the user cannot access.</li><li>Large exports fail gracefully with a clear message or asynchronous flow.</li></ul>",5,2,HerdCommand;R4;Reports;PDF;Localization
User Story,,,US108 - Export tabular report to spreadsheet,"<p><strong>As a</strong> Farm user, <strong>I want</strong> to export permitted report data to a spreadsheet-compatible file, <strong>so that</strong> I can perform offline analysis.</p>",<ul><li>Export columns match visible/report semantics.</li><li>Date and numeric values remain machine-readable.</li><li>Arabic and English text exports correctly.</li><li>Export respects active filters and permissions.</li></ul>,5,2,HerdCommand;R4;Reports;Export;Data
Epic,"E13 - Mobile, Offline & Sync",,,"<p>Support reliable field work on React Native, including intermittent connectivity.</p>",,,1,HerdCommand;R3;Epic
